AppID,App Name,All Review,All Percent,All People
531220,Splasher Demo,Very Positive,97%,259
531240,Max Stern,None,None,4
531270,The Art of Fight,Mostly Positive,70%,301
530650,Rogues or Heroes,None,None,5
530660,SteamWorld Heist - Hatbox: Hatful Eight + 2,None,None,5
530661,SteamWorld Heist - Hatbox: Three 4 Free,Positive,94%,17
530670,ALICE VR - Soundtrack,None,None,None
530671,ALICE VR - Artbook,None,None,None
530680,Grave Matters,None,None,1
530710,Dead by Daylight - The 80's Suitcase,Very Positive,91%,883
530711,Dead by Daylight - The Halloween Chapter,Very Positive,90%,"2,141"
530720,Solitaire Royale,None,None,None
530730,The Bunker - Soundtrack,None,None,1
530740,Spareware,Mostly Positive,71%,14
