AppID,App Name,All Review,All Percent,All People
905687,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Nanase,None,None,None
905688,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Hilda,None,None,None
905689,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Yuzuriha,None,None,None
905690,魔物讨伐团,None,None,None
905700,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Seth,None,None,None
905701,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Vatista,None,None,1
905702,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Merkava,None,None,None
905703,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Gordeau,None,None,None
905704,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Orie,None,None,None
905705,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Carmine,None,None,None
905706,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Waldstein,None,None,None
905707,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Linne,None,None,None
905708,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Hyde,None,None,None
905730,Soul at Stake - Special Gestures,Positive,92%,14
905740,Fantasy Grounds - Monstrous Lair #1 Owlbear Nest (Any Ruleset),None,None,None
905750,Fantasy Grounds - Monstrous Lair #2: Troll Cave (Any Ruleset),None,None,None
905760,Fugue State,None,None,None
905780,Sanguine Sanctum Demo,None,None,9
905790,Hungry Shadows,None,None,2
905800,SpaceExile,None,None,6
905820,"Fantasy Grounds - Supers, Volume 4 (Token Pack)",None,None,None
905840,TOMORROW DON'T COME - Vicious Cycle,None,None,3
905860,DrillMania,None,None,2
905870,Inn: the Countryside,None,None,5
905880,Caves of Plague,None,None,5
905890,MONOWARS: Red Zone,None,None,1
905940,女神驾到,Mostly Negative,26%,523
905960,Skyland Defense,None,None,None
905980,Midnight Pulse,None,None,None
905990,Satellite - OST,None,None,None
906000,Keyhole Spy: Student Girls,None,None,None
906010,TAL: Arctic 2,None,None,5
906020,Strike Cars,None,None,None
905220,Grim Earth,None,None,None
905250,Robbotto - Soundtrack,None,None,None
905260,Hags Castle,None,None,None
905270,Merlin Soccer,None,None,None
905280,QB Sim,None,None,None
905300,Daytona Racing,None,None,3
905320,Shadow of the Tomb Raider - White Shadow Band Resource Pack,None,None,None
905330,oOo: Ascension,None,None,1
905350,Bang Bang Fruit 3,None,None,2
905360,Mech League: Smash,None,None,None
905370,Conqueror's Blade,None,None,None
905380,RpgEra,None,None,None
905420,RpgEra Demo,None,None,None
905440,RogueAlongWay,None,None,None
905450,NASCAR Heat 3,Mostly Positive,70%,77
905460,Nutrients for Life,None,None,2
905470,Anamorphine Soundtrack,None,None,None
905490,Deck Hunter,None,None,None
905510,Rugosi,None,None,3
905530,Anew: The Distant Light,None,None,None
905560,Bullets in the Space,None,None,None
905590,The Asteroid Belt's Trial,None,None,None
905630,GALAXY TOP WING,None,None,None
905640,CombatArms: Reloaded,None,None,None
905650,Dominus 2,None,None,None
905660,纸境英雄,None,None,None
905681,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Phonon,None,None,None
905682,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Mika,None,None,1
905683,UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Enkidu,None,None,None
904730,Leder Panzer Demo,None,None,None
904750,Zniw Adventure,None,None,None
904770,Divine Miracle Defense,None,None,1
904780,DeepWeb,None,None,2
904790,Ochkarik,None,None,7
904800,Ambition,None,None,8
904810,Ectolibrium,None,None,None
904820,VR Jogger,None,None,None
904840,Midnight Wave,None,None,None
904850,Fat[EX] Courier Simulator,None,None,None
904860,25 Cadre of Death,None,None,None
904870,Ellen's Friends eBook Collection (Majula Frontier backstory),None,None,None
904890,Neverliria,Positive,100%,11
904910,V nekotorom tsarstve Awesome Soundtrack,None,None,None
904911,V nekotorom tsarstve Dazzling Wallpapers,None,None,None
904930,YOU - The Untold Stories,None,None,2
904940,Les 4 Alice: Lorange Journey,Positive,100%,10
904950,Exodus,None,None,2
904960,Cine Tracer,Positive,81%,11
904970,堕魔的伊米娅（Fallen Emiya）,None,None,None
904990,21+,Positive,86%,23
905010,Draw Light,None,None,None
905020,Fort,None,None,2
905040,The Last Wizard Demo,None,None,7
905050,Graviteam Tactics: Raid,Positive,90%,10
905060,Turret Tech,None,None,None
905070,CONTINGENCY,None,None,None
905100,Neverliria Demo,Positive,100%,11
905120,Son.Light.Sleepwalker,None,None,1
905130,Doggo Dig Down,None,None,None
905150,Trivia Quiz: All about everything!,None,None,9
905170,Trash Story - Hentai Patch,None,None,None
905180,Inevitable VR,None,None,5
905200,Anime Dress Up,None,None,None
905210,Regular Human Basketball OST,None,None,1
904260,Dungeon Fighter Online: Hatsune Miku Crossover Package,Positive,100%,14
904270,BlaBla Underwear DLC,None,None,None
904300,HOKUSAI,None,None,None
904310,Initial 2 : New Stage,None,None,None
904320,My Holiday,Very Positive,98%,113
904340,Marbledrome: Crazy Stunt Balls,None,None,2
904350,Space Hurricane Storm: 2 Edition,None,None,5
904360,Family Man,None,None,None
904390,Revelation Online - Free Steam Welcome Pack,None,None,7
904400,Cardpocalypse,None,None,None
904410,Fishing Simulator,None,None,None
904430,Swing the cat,None,None,None
904440,Type Defense,Positive,100%,14
904450,Port Valley,None,None,None
904460,Port Valley DEMO,None,None,None
904500,Grompula,Positive,93%,16
904530,Erotic Jigsaw Challenge Vol 2,None,None,4
904550,Robot Chase,None,None,None
904560,Flameruby,None,None,4
904570,TOK,None,None,None
904580,Hiveswap Friendsim - Volume Eight,Positive,100%,15
904590,Arcade LA Deadzone,None,None,None
904600,Small Sister,Mostly Negative,30%,10
904610,Fantasy Grounds - Pathfinder RPG - Reign of Winter AP 5: Rasputin Must Die! (PFRPG),None,None,None
904620,Card Battle Spirit Link Demo,None,None,None
904650,DragonFangZ Extra Dungeon 1,None,None,None
903772,Revelation Online - Deluxe Pack,None,None,1
903780,Beast Agenda 2030,None,None,None
903790,Card Battle Spirit Link,None,None,None
903830,Cash Rush,Positive,80%,15
903860,Warlords Awakening - Early Access Package,None,None,6
903870,Banzo - Original Sound Track,None,None,None
903940,VirtuaCreature Demo,None,None,3
903970,Fantasy Grounds - Mythic Monsters #22: Emissaries of Evil (PFRPG),None,None,None
903980,ANti: Virus Destroyer Demo,None,None,1
903990,Fantasy Grounds - Mythic Monsters #34: Egypt (PFRPG),None,None,None
904000,Digimon Adventure tri.: Loss,None,None,None
904010,"Fantasy Grounds - Frequent Foes, Volume 5 (Token Pack)",None,None,None
904020,Howard Lovecraft and the Undersea Kingdom,None,None,None
904050,American University Life ~Welcome Week!~,None,None,2
904110,"Fantasy Grounds - Harbinger's of Life & Death: Deathseer, Pale Master, and Vicar Class Pack (5E)",None,None,None
904120,RPG Maker MV - Modern Music Mega-Pack,None,None,None
904121,RPG Maker MV - Sci-Fi Music Pack,None,None,1
904122,RPG Maker MV - Sci-Fi Sound Effects,None,None,None
904123,RPG Maker MV - Annihilation Music Pack,None,None,1
904124,RPG Maker MV - Tyler Warren RPG Battlers - 3rd 50,None,None,None
904125,RPG Maker MV - Tyler Warren RPG Battlers - 2nd 50,None,None,None
904126,RPG Maker MV - Magical Music Box Music Pack,None,None,None
904127,RPG Maker MV - Fantasy Adventure Mini Music Pack,None,None,None
904130,Defense: Abominations,Positive,100%,13
904150,"Fantasy Grounds - Monstrous Characters, Volume 4 (Token Pack)",None,None,None
904160,Ashes,None,None,5
904170,Never Breakup,None,None,8
904190,Visual Novel Maker - Japanese School Girls Vol.2,None,None,None
904200,Visual Novel Maker - Annihilation Music Pack,None,None,None
904210,Visual Novel Maker - Horror Soundscapes,None,None,None
904220,Visual Novel Maker - Matsurigami slave to convention,None,None,None
903380,In The Fighting Awesome Soundtrack,None,None,None
903381,In The Fighting Dazzling Wallpapers,None,None,None
903410,Sounds of Her Love ~We'll always be together~,None,None,2
903460,Paratopic Soundtrack,None,None,None
903580,AstroViking,None,None,6
903590,Double Demo,None,None,None
903610,CINERIS SOMNIA - Original Soundtrack,None,None,None
903620,Everyday Baseball VR,None,None,4
903640,Super Zombie Arcade,None,None,None
903670,Dogs of War: Kill to Survive,Negative,8%,12
903680,conNEcT01,None,None,2
903710,Headshot VR,None,None,None
903740,Kings,None,None,None
903760,BinaryBotsVR,None,None,None
903770,Revelation Online - Starter Pack,None,None,1
903771,Revelation Online - Advanced Pack,None,None,3
901000,Serenade of the Sirens,None,None,1
901020,Adventure Portal,None,None,None
903070,War.io : Survival Battle Royale,None,None,7
903090,PUZZLE: CATS & DOGS - Puzzle Pack: Summer Cats,None,None,None
903110,The Greater Good - Soundtrack,None,None,None
903120,Moss Soundtrack,None,None,None
903150,FALL,Positive,100%,10
903160,Wunderwaffe,Positive,100%,12
903180,Privateers,None,None,None
903200,Vampirina's Nails,None,None,None
903260,Air Threat - Small Donation,None,None,None
903261,Air Threat - Medium Donation,None,None,None
903262,Air Threat - Large Donation,None,None,None
903263,Air Threat - Huge Donation,None,None,None
900790,Bunny Minesweeper,Positive,85%,20
900820,DC Universe Online™ - Episode 32 - Teen Titans: The Judas Contract,None,None,None
900230,V-Rally 4 - Roadbook,None,None,None
900231,V-Rally 4 - Career Booster,None,None,None
900240,Movavi Video Editor Plus - Travel Set,None,None,None
900241,Movavi Video Editor Plus - Family Set,None,None,None
900242,Movavi Video Editor Plus - Seasons Set,None,None,None
900250,Fortune & Gloria Demo,None,None,1
